         magnitude_x_y    derrivative_x_y    make_gaussian_kernel    gaussian_smooth    follow_edges    apply_hysteresis    non_max_supp    Obj24    Obj25    Obj26    Obj27    Obj28    Obj29    Obj30    Obj31
    magnitude_x_y    0    0    0    0    0    0    0    0    0    0    0    0    153600    0    0
    derrivative_x_y    0    1228808    0    0    0    0    0    0    0    0    153600    153600    0    0    0
    make_gaussian_kernel    0    36    428    8    0    0    0    120    0    0    0    0    0    0    0
    gaussian_smooth    0    60    0    8    0    0    0    0    307200    153600    0    0    0    0    0
    follow_edges    0    0    0    0    0    0    0    0    0    0    0    0    0    0    5980
    apply_hysteresis    0    0    0    0    0    134448    0    0    0    0    0    0    0    0    148740
    non_max_supp    0    0    0    0    0    0    0    0    0    0    0    0    0    76249    0
    Obj23    0    0    0    1138560    0    0    0    0    0    0    0    0    0    0    0
    Obj24    0    0    60    9090560    0    0    0    0    0    0    0    0    0    0    0
    Obj25    0    0    0    4536320    0    0    0    0    0    0    0    0    0    0    0
    Obj26    0    614400    0    0    0    0    0    0    0    0    0    0    0    0    0
    Obj27    153600    0    0    0    0    0    150258    0    0    0    0    0    0    0    0
    Obj28    153600    0    0    0    0    0    217620    0    0    0    0    0    0    0    0
    Obj29    0    0    0    0    11998    30006    751290    0    0    0    0    0    0    0    0
    Obj30    0    0    0    0    0    76800    0    0    0    0    0    0    0    0    0
    Obj31    0    0    0    0    48800    230400    0    0    0    0    0    0    0    0    0
